Attendance Date			01-Oct-2025,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,111,MS6321,,,,00:00,00:00,00:00,Absent,,
,112,MS6324,,,,00:00,00:00,00:00,Absent,,
,113,MS6346,,,,00:00,00:00,00:00,Absent,,
,114,MS6414,,,,00:00,00:00,00:00,Absent,,
,115,MS6444,,,,00:00,00:00,00:00,Absent,,
,116,MS6498,,,,00:00,00:00,00:00,Absent,,
,117,MS6548,,,,00:00,00:00,00:00,Absent,,
,118,MS6656,,,,00:00,00:00,00:00,Absent,,
,119,MS6658,,,,00:00,00:00,00:00,Absent,,
,120,MS6676,,,,00:00,00:00,00:00,Absent,,
,121,MS6766,,,,00:00,00:00,00:00,Absent,,
,122,MS6811,,,,00:00,00:00,00:00,Absent,,
,123,MS6876,,,,00:00,00:00,00:00,Absent,,
,124,MS6883,,,,00:00,00:00,00:00,Absent,,
,125,MS7111,,,,00:00,00:00,00:00,Absent,,
,126,MS7239,,,,00:00,00:00,00:00,Absent,,
,127,MS7396,,,,00:00,00:00,00:00,Absent,,
,128,MS7443,,,,00:00,00:00,00:00,Absent,,
,129,MS7734,,,,00:00,00:00,00:00,Absent,,
,130,MS7751,,,,00:00,00:00,00:00,Absent,,
,131,MS7754,,,,00:00,00:00,00:00,Absent,,
,132,MS7792,,,,00:00,00:00,00:00,Absent,,
,133,MS7916,,,,00:00,00:00,00:00,Absent,,
,134,MS7945,,,,00:00,00:00,00:00,Absent,,
,135,MS7980,,,,00:00,00:00,00:00,Absent,,
,136,MS8084,,,,00:00,00:00,00:00,Absent,,
,137,MS8256,,,,00:00,00:00,00:00,Absent,,
,138,MS8259,,,,00:00,00:00,00:00,Absent,,
,139,MS8330,,,,00:00,00:00,00:00,Absent,,
,140,MS8335,,,,00:00,00:00,00:00,Absent,,
,141,MS8500,,,,00:00,00:00,00:00,Absent,,
,142,MS8564,,,,00:00,00:00,00:00,Absent,,
,,,,,,,,,,,
Attendance Date			03-Oct-2025			,,,,,,,,,,,
,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,1,MS3132,08:53:06,13:40:03,,4:47,00:00,4:47,Present ,,
,2,MS3133,11:32:03,19:13:35,,7:41,00:00,7:41,Present ,,
,3,MS3155,,,,00:00,00:00,00:00,Absent,,
,4,MS3165,11:26:30,15:58:30,,4:32,00:00,4:32,Present ,,
,5,MS3173,11:37:59,,,6:53,00:00,6:53,Present  (No OutPunch),,
,6,MS3175,11:32:52,14:56:57,,3:22,00:00,3:22, ½Present ,,
,7,MS3219,08:52:50,13:39:42,,4:47,00:00,4:47,Present ,,
,8,MS3241,11:34:30,,,6:56,00:00,6:56,Present  (No OutPunch),,
,9,MS3388,08:42:01,11:36:30,,2:54,00:00,2:54, ½Present ,,
,10,MS3405,08:55:45,13:38:20,,4:43,00:00,4:43,Present ,,
,11,MS3414,,,,00:00,00:00,00:00,Absent,,
,12,MS3417,11:25:03,,,7:05,00:00,7:05,Present  (No OutPunch),,
,13,MS3437,09:05:48,13:41:07,,4:36,00:00,4:36,Present ,,
,14,MS3442,11:28:23,,,7:02,00:00,7:02,Present  (No OutPunch),,
,15,MS3449,09:47:56,14:44:31,,4:57,00:00,4:57,Present ,,
,16,MS3486,09:02:43,14:43:18,,5:41,00:00,5:41,Present ,,
,17,MS3523,,,,00:00,00:00,00:00,Absent,,
,18,MS3528,11:24:30,19:05:55,,7:41,00:00,7:41,Present ,,
,19,MS3545,11:39:55,,,6:51,00:00,6:51,Present  (No OutPunch),,
,20,MS3570,08:52:04,13:36:39,,4:44,00:00,4:44,Present ,,
,21,MS3574,09:02:36,19:16:06,,9:00,1:14,10:14,Present ,,
,22,MS3612,11:31:51,,,6:59,00:00,6:59,Present  (No OutPunch),,
,23,MS3625,,,,00:00,00:00,00:00,Absent,,
,24,MS3629,,,,00:00,00:00,00:00,Absent,,
,25,MS3632,11:37:54,,,6:53,00:00,6:53,Present  (No OutPunch),,
,26,MS3693,11:34:54,,,6:56,00:00,6:56,Present  (No OutPunch),,
,27,MS3712,08:55:43,11:29:30,,2:34,00:00,2:34, ½Present ,,
,28,MS3754,09:02:05,19:21:28,,9:00,1:19,10:19,Present ,,
,29,MS3788,09:02:38,19:13:25,,9:00,1:11,10:11,Present ,,
,30,MS3834,,,,00:00,00:00,00:00,Absent,,
,31,MS3860,11:34:05,,,6:56,00:00,6:56,Present  (No OutPunch),,
,32,MS3886,12:33:14,19:11:26,,6:38,00:00,6:38,Present ,,
,33,MS3890,08:58:43,,,9:00,00:32,9:32,Present  (No OutPunch),,
,34,MS3894,08:53:16,,,9:00,00:37,9:37,Present  (No OutPunch),,
,35,MS3909,11:39:47,,,6:51,00:00,6:51,Present  (No OutPunch),,
,36,MS3914,08:58:55,,,9:00,00:32,9:32,Present  (No OutPunch),,
,37,MS3942,,,,00:00,00:00,00:00,Absent,,
,38,MS3951,,,,00:00,00:00,00:00,Absent,,
,39,MS3952,11:33:33,,,6:57,00:00,6:57,Present  (No OutPunch),,
,40,MS3965,11:33:08,13:37:46,,2:04,00:00,2:04, ½Present ,,
,41,MS3974,09:10:23,,,9:20,00:00,9:20,Present  (No OutPunch),,
,42,MS4007,08:52:33,11:40:48,,2:48,00:00,2:48, ½Present ,,
,43,MS4038,08:59:24,11:40:49,,2:41,00:00,2:41, ½Present ,,
,44,MS4088,08:52:53,19:14:31,,9:00,1:22,10:22,Present ,,
,45,MS4090,08:55:07,,,9:00,00:35,9:35,Present  (No OutPunch),,
,46,MS4119,11:38:16,,,6:52,00:00,6:52,Present  (No OutPunch),,
,47,MS4120,08:55:55,13:38:08,,4:42,00:00,4:42,Present ,,
,48,MS4122,08:58:15,,,9:00,00:32,9:32,Present  (No OutPunch),,
,49,MS4157,10:16:16,,,8:14,00:00,8:14,Present  (No OutPunch),,
,50,MS4168,11:37:12,13:28:29,,1:51,00:00,1:51,Absent,,
,51,MS4251,11:38:02,,,6:52,00:00,6:52,Present  (No OutPunch),,
,52,MS4260,08:58:29,13:39:44,,4:41,00:00,4:41,Present ,,
